Entity	Relation	Value	Iteration of Promotion	Probability	Source	Entity literalStrings	Value literalStrings	Best Entity literalString	Best Value literalString	Categories for Entity	Categories for Value	Candidate Source
concept:city:wachapreague	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Wachapreague,%20Virginia	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"wachapreague" "Wachapreague" 	"http://en.wikipedia.org/wiki/Wachapreague,%20Virginia" 	wachapreague	http://en.wikipedia.org/wiki/Wachapreague,%20Virginia			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:drug:u_s__food_and_drug_administration	concept:atdate	concept:date:n2004	827	0.9375	MBL-Iter%3A827-2014%2F04%2F02-06%3A07%3A15-From+ErrorBasedIntegrator+%28CPL%28u_s__food_and_drug_administration%2Cn2004%29%29	"u.s. food and drug administration" "U.S. Food and Drug Administration" 	"2004" 	u.s. food and drug administration	2004		 concept:date	%5BCPL-Iter%3A691-2013%2F01%2F29-22%3A55%3A56-%3Ctoken%3Du_s__food_and_drug_administration%2Cn2004%3E-arg1+in+February+arg2%091%09arg1+in+September+arg2%091%09arg1+in+June+arg2%091%09arg1+in+December+arg2%092%5D
concept:crustacean:peregrino	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Peregrino	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Peregrino" 	"http://en.wikipedia.org/wiki/Peregrino" 	Peregrino	http://en.wikipedia.org/wiki/Peregrino			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:disease:psychogenic_pruritus	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Psychogenic%20pruritus	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Psychogenic pruritus" 	"http://en.wikipedia.org/wiki/Psychogenic%20pruritus" 	Psychogenic pruritus	http://en.wikipedia.org/wiki/Psychogenic%20pruritus			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personnorthamerica:mike_gatting	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Mike%20Gatting	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Mike Gatting" 	"http://en.wikipedia.org/wiki/Mike%20Gatting" 	Mike Gatting	http://en.wikipedia.org/wiki/Mike%20Gatting			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:skiarea:stanzach	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Stanzach	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Stanzach" 	"http://en.wikipedia.org/wiki/Stanzach" 	Stanzach	http://en.wikipedia.org/wiki/Stanzach			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:militaryconflict:five_days_of_milan	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Five%20Days%20of%20Milan	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Five Days of Milan" 	"http://en.wikipedia.org/wiki/Five%20Days%20of%20Milan" 	Five Days of Milan	http://en.wikipedia.org/wiki/Five%20Days%20of%20Milan			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:writer:colin_mcnaughton	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Colin%20McNaughton	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Colin McNaughton" 	"http://en.wikipedia.org/wiki/Colin%20McNaughton" 	Colin McNaughton	http://en.wikipedia.org/wiki/Colin%20McNaughton			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:plant:ocimum	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Ocimum	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Ocimum" 	"http://en.wikipedia.org/wiki/Ocimum" 	Ocimum	http://en.wikipedia.org/wiki/Ocimum			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:politicsblog:the_new_teacher_project	concept:haswikipediaurl	http://en.wikipedia.org/wiki/The%20New%20Teacher%20Project	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"The New Teacher Project" 	"http://en.wikipedia.org/wiki/The%20New%20Teacher%20Project" 	The New Teacher Project	http://en.wikipedia.org/wiki/The%20New%20Teacher%20Project			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:visualartist:carl_holty	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Carl%20Holty	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Carl Holty" 	"http://en.wikipedia.org/wiki/Carl%20Holty" 	Carl Holty	http://en.wikipedia.org/wiki/Carl%20Holty			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personaustralia:billy_bodin	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Billy%20Bodin	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Billy Bodin" 	"http://en.wikipedia.org/wiki/Billy%20Bodin" 	Billy Bodin	http://en.wikipedia.org/wiki/Billy%20Bodin			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:visualartist:maxime_dethomas	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Maxime%20Dethomas	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Maxime Dethomas" 	"http://en.wikipedia.org/wiki/Maxime%20Dethomas" 	Maxime Dethomas	http://en.wikipedia.org/wiki/Maxime%20Dethomas			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:sportsevent:piet_rooijakkers	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Piet%20Rooijakkers	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Piet Rooijakkers" 	"http://en.wikipedia.org/wiki/Piet%20Rooijakkers" 	Piet Rooijakkers	http://en.wikipedia.org/wiki/Piet%20Rooijakkers			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mollusk:cardita	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Cardita	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Cardita" 	"http://en.wikipedia.org/wiki/Cardita" 	Cardita	http://en.wikipedia.org/wiki/Cardita			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mountain:chacaltaya	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Chacaltaya	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Chacaltaya" "chacaltaya" 	"http://en.wikipedia.org/wiki/Chacaltaya" 	Chacaltaya	http://en.wikipedia.org/wiki/Chacaltaya			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:female:jean_jacques_daigneault	concept:haswikipediaurl	http://en.wikipedia.org/wiki/J%2E%20J%2E%20Daigneault	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Jean-Jacques Daigneault" 	"http://en.wikipedia.org/wiki/J%2E%20J%2E%20Daigneault" 	Jean-Jacques Daigneault	http://en.wikipedia.org/wiki/J%2E%20J%2E%20Daigneault			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:professionalorganization:scm_press	concept:haswikipediaurl	http://en.wikipedia.org/wiki/SCM%20Press	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"SCM Press" 	"http://en.wikipedia.org/wiki/SCM%20Press" 	SCM Press	http://en.wikipedia.org/wiki/SCM%20Press			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:comedian:lincoln_clark	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Lincoln%20Clark	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Lincoln Clark" 	"http://en.wikipedia.org/wiki/Lincoln%20Clark" 	Lincoln Clark	http://en.wikipedia.org/wiki/Lincoln%20Clark			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:skiarea:divcibare	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Div%C4%8Dibare	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"divcibare" "Divcibare" 	"http://en.wikipedia.org/wiki/Div%C4%8Dibare" 	divcibare	http://en.wikipedia.org/wiki/Div%C4%8Dibare			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:chef:tetsuya_wakuda	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Tetsuya%20Wakuda	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Tetsuya Wakuda" "tetsuya wakuda" 	"http://en.wikipedia.org/wiki/Tetsuya%20Wakuda" 	Tetsuya Wakuda	http://en.wikipedia.org/wiki/Tetsuya%20Wakuda			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mountain:chacaltaya	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Chacaltaya	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Chacaltaya" "chacaltaya" 	"http://en.wikipedia.org/wiki/Chacaltaya" 	Chacaltaya	http://en.wikipedia.org/wiki/Chacaltaya			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:writer:carl_russell_fish	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Carl%20Russell%20Fish	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Carl Russell Fish" 	"http://en.wikipedia.org/wiki/Carl%20Russell%20Fish" 	Carl Russell Fish	http://en.wikipedia.org/wiki/Carl%20Russell%20Fish			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:city:tehachapi	concept:locationlocatedwithinlocation	concept:stateorprovince:california	960	0.9999998933597021	MBL-Iter%3A960-2015%2F11%2F23-12%3A38%3A22-From+ErrorBasedIntegrator+%28SEAL%28tehachapi%2Ccalifornia%29%2C+PRA%28tehachapi%2Ccalifornia%29%29	"tehachapi" "Tehachapi" 	"CALIFORNIA" "california" "California" 	tehachapi	CALIFORNIA		 concept:visualizablescene concept:stateorprovince	%5BSEAL-Iter%3A178-2010%2F12%2F14-12%3A09%3A29-%3Ctoken%3Dtehachapi%2Ccalifornia%3E-From%3ARelation%3Alocationlocatedwithinlocation-using-KB+http%3A%2F%2Fwww.alumniclass.com%2Fhigh-school-alumni-classmates%2Fcalifornia%2Fbarstow%2F2485%3Fpage%3D7%2C+PRA-Iter%3A960-2015%2F11%2F10-12%3A36%3A31-%3Ctoken%3Dtehachapi%2Ccalifornia%3E-Y%7EX0%7Econcept%3Amutualproxyfor%2Cconcept%3Aproxyof%2Cconcept%3Aatlocation%090.79885%09Y%7EX0%7Econcept%3Aproxyfor%2Cconcept%3Aproxyof%2Cconcept%3Aatlocation%090.75632%09Y%7EX0%7Econcept%3Amutualproxyfor%2Cconcept%3Ageopoliticallocationcontainscity%2Cconcept%3Acitylocatedinstate%090.60272%09Y%7EX0%7Econcept%3Amutualproxyfor%2Cconcept%3Amutualproxyfor%2Cconcept%3Aatlocation%090.59071%09Y%7EX0%7Econcept%3Amutualproxyfor%2Cconcept%3Arelatedto%2Cconcept%3Aatlocation%090.50167%5D
concept:city:tehachapi	concept:proxyfor	concept:stateorprovince:california	871	0.9921875	MBL-Iter%3A871-2014%2F09%2F14-07%3A12%3A13-From+ErrorBasedIntegrator+%28SEAL%28tehachapi%2Ccalifornia%29%2C+CPL%28tehachapi%2Ccalifornia%29%29	"tehachapi" "Tehachapi" 	"CALIFORNIA" "california" "California" 	tehachapi	CALIFORNIA		 concept:visualizablescene concept:stateorprovince	%5BSEAL-Iter%3A180-2010%2F12%2F16-11%3A11%3A40-%3Ctoken%3Dtehachapi%2Ccalifornia%3E-From%3ARelation%3Aproxyfor-using-KB+http%3A%2F%2Fwww.ree.com%2Free%2Fsearch%2Fsearchdetailed.asp+http%3A%2F%2Fwww.boo.com%2Fusa%2Fnorthcarolina%2Fgreenville+http%3A%2F%2Fvideomd.com%2Fcontact_us.aspx+http%3A%2F%2Fwww.trails.com%2Fadvancedfind.aspx%3FKeyword%3Dantelope%2Bvalley+http%3A%2F%2Fwww.lifematters.com%2Fparenting_states.asp%2C+CPL-Iter%3A674-2012%2F12%2F24-10%3A53%3A06-%3Ctoken%3Dtehachapi%2Ccalifornia%3E-arg1+Mountains+of+Southern+arg2%096%09arg1+Mountains+in+Southern+arg2%092%5D
concept:personasia:at_the_threshold_of_an_era	concept:haswikipediaurl	http://en.wikipedia.org/wiki/At%20the%20Threshold%20of%20an%20Era	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"At the Threshold of an Era" 	"http://en.wikipedia.org/wiki/At%20the%20Threshold%20of%20an%20Era" 	At the Threshold of an Era	http://en.wikipedia.org/wiki/At%20the%20Threshold%20of%20an%20Era			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:city:cenicientos	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Cenicientos	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Cenicientos" 	"http://en.wikipedia.org/wiki/Cenicientos" 	Cenicientos	http://en.wikipedia.org/wiki/Cenicientos			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:vein:johann_gottlieb_walter	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Johann%20Gottlieb%20Walter	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Johann Gottlieb Walter" 	"http://en.wikipedia.org/wiki/Johann%20Gottlieb%20Walter" 	Johann Gottlieb Walter	http://en.wikipedia.org/wiki/Johann%20Gottlieb%20Walter			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personeurope:eric_lionel_mascall	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Eric%20Lionel%20Mascall	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Eric Lionel Mascall" 	"http://en.wikipedia.org/wiki/Eric%20Lionel%20Mascall" 	Eric Lionel Mascall	http://en.wikipedia.org/wiki/Eric%20Lionel%20Mascall			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:river:t_naiste	concept:haswikipediaurl	http://en.wikipedia.org/wiki/T%C3%A1naiste	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Tánaiste" "T�naiste" 	"http://en.wikipedia.org/wiki/T%C3%A1naiste" 	Tánaiste	http://en.wikipedia.org/wiki/T%C3%A1naiste			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:mollusk:calliostoma	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Calliostoma	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Calliostoma" 	"http://en.wikipedia.org/wiki/Calliostoma" 	Calliostoma	http://en.wikipedia.org/wiki/Calliostoma			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:person:michael_ventura	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Michael%20Ventura	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"michael_ventura" "michael ventura" "Michael Ventura" 	"http://en.wikipedia.org/wiki/Michael%20Ventura" 	michael_ventura	http://en.wikipedia.org/wiki/Michael%20Ventura			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:writer:ian_beck	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Ian%20Beck	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"ian beck" "Ian Beck" 	"http://en.wikipedia.org/wiki/Ian%20Beck" 	ian beck	http://en.wikipedia.org/wiki/Ian%20Beck			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personeurope:phyllis_shalant	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Phyllis%20Shalant	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Phyllis Shalant" 	"http://en.wikipedia.org/wiki/Phyllis%20Shalant" 	Phyllis Shalant	http://en.wikipedia.org/wiki/Phyllis%20Shalant			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:physiologicalcondition:enterocele	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Enterocele	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"enterocele" "Enterocele" 	"http://en.wikipedia.org/wiki/Enterocele" 	enterocele	http://en.wikipedia.org/wiki/Enterocele			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:athlete:ed_coughlin	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Ed%20Coughlin	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Ed Coughlin" 	"http://en.wikipedia.org/wiki/Ed%20Coughlin" 	Ed Coughlin	http://en.wikipedia.org/wiki/Ed%20Coughlin			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:scientist:claud_cockburn	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Claud%20Cockburn	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"claud cockburn" "Claud Cockburn" "CLAUD COCKBURN" "claud_cockburn" 	"http://en.wikipedia.org/wiki/Claud%20Cockburn" 	claud cockburn	http://en.wikipedia.org/wiki/Claud%20Cockburn			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:athlete:marcus_harrison	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Marcus%20Harrison	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Marcus Harrison" 	"http://en.wikipedia.org/wiki/Marcus%20Harrison" 	Marcus Harrison	http://en.wikipedia.org/wiki/Marcus%20Harrison			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:beach:philopappos_monument	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Philopappos%20Monument	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Philopappos Monument" 	"http://en.wikipedia.org/wiki/Philopappos%20Monument" 	Philopappos Monument	http://en.wikipedia.org/wiki/Philopappos%20Monument			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
